"מועדון","שם","מפתח","רמה","סיכון","מקורות","כמה","עמדה","לאום","לידה","עונות","תקופה","תארים","בבריכה","חידה מספר","מועדונים בערך האנגלי"
"ביתרdle","חיים לוין","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור","4","GK","IL","1937","2","69/70-70/71","0","","",""
"ביתרdle","ארצי בן יעקב","","מאושר","","קטגוריה · קריירה-עברית · הגרסה שבייצור","2","FW","IL","1946","1","70/71","0","","",""
"ביתרdle","דני נוימן","","מאושר","","קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","4","MF","IL","1955","11","71/72-79/80, 82/83-83/84","2","כן","1",""
"ביתרdle","יוסף סורינוב","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור","4","GK","IL","1946","4","71/72-74/75","0","כן","38",""
"ביתרdle","אורי מלמיליאן","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","MF","IL","1957","17","73/74-89/90","6","כן","94",""
"ביתרdle","יוסי אברהמי","","מאושר","","קטגוריה · קריירה-עברית · הגרסה שבייצור","2","FW","IL","1957","10","74/75-83/84","2","כן","72",""
"ביתרdle","יוסי מזרחי","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","GK","IL","1953","14","74/75-87/88","5","כן","35",""
"ביתרdle","דוד קרקו","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור","4","DF","IL","1945","1","75/76","1","","",""
"ביתרdle","אברהם לב","","מאושר","","קטגוריה · קריירה-עברית · הגרסה שבייצור","2","DF","IL","1948","1","76/77","0","","",""
"ביתרdle","שלמה כירת","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור","2","DF","IL","1954","1","77/78","0","","",""
"ביתרdle","אבי כהן","","מאושר","","קטגוריה · קריירה-עברית · הגרסה שבייצור","2","DF","IL","1962","9","79/80-84/85, 86/87-88/89","3","כן","17",""
"ביתרdle","אלי אוחנה","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","FW","IL","1964","15","80/81-86/87, 91/92-98/99","6","כן","85",""
"ביתרdle","יעקב שוורץ","","מאושר","","worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור","4","MF","IL","1964","11","83/84-93/94","5","כן","50",""
"ביתרdle","מאיר קדוש","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","MF","IL","1965","11","84/85-94/95","5","כן","121",""
"ביתרdle","שלמה שירזי","","מאושר","","worldfootball · קטגוריה · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","DF","IL","1960","5","84/85-88/89","4","כן","20",""
"ביתרdle","אופיר שמואלי","","מאושר","","worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · הגרסה שבייצור · Transfermarkt","4","DF","IL","1966","6","86/87-91/92","2","כן","23",""
"ביתרdle","יעקב בוזגלו","","מאושר","","worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","FW","IL","1957","1","86/87","1","","",""
"ביתרdle","משה סלקטר","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","MF","IL","1961","1","87/88","0","","",""
"ביתרdle","איתן מזרחי","28790","מאושר","","התאחדות · worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","6","DF","IL","1972","15","88/89-02/03","4","כן","15",""
"ביתרdle","בוני גינצבורג","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","GK","IL","1964","1","88/89","1","","",""
"ביתרdle","אטאנס פשב","","מקור יחיד","נמוך","הגרסה שבייצור","1","MF","BG","1963","1","89/90","0","","",""
"ביתרdle","גורם אדז'ואב","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","3","DF","GE","1961","1","89/90","0","","",""
"ביתרdle","שמואל לוי","28789","מאושר","","התאחדות · worldfootball (גשר תעתיק) · הגרסה שבייצור","3","DF","IL","1972","12","89/90-00/01","3","כן","49",""
"ביתרdle","יורי טרסוב","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","3","FW","UA","1960","1","90/91","0","","",""
"ביתרdle","ולדימיר גרצ'נב","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","3","MF","RU","1964","2","92/93-93/94","1","","",""
"ביתרdle","יעקב אסייג","","מאושר","","worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","GK","IL","1959","2","92/93-93/94","1","","",""
"ביתרdle","סרגיי טרטיאק","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","DF","UA","1963","8","92/93-99/00","3","כן","12",""
"ביתרdle","רונן חרזי","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","FW","IL","1970","5","92/93-96/97","2","כן","11",""
"ביתרdle","אהוד כחילה","33040","מאושר","","התאחדות · worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","6","DF","IL","1968","6","93/94-97/98, 02/03","2","כן","61",""
"ביתרdle","אולג קושלוק","","מאושר","","worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור","4","MF","UA","1969","1","93/94","0","","",""
"ביתרdle","אילן אלהרר","","מאושר","","worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · הגרסה שבייצור · Transfermarkt","4","DF","IL","1970","3","93/94-95/96","0","כן","120",""
"ביתרdle","יהיב כרדי","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","3","DF","IL","","2","93/94-94/95","0","","",""
"ביתרdle","יובל מימון","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","3","DF","IL","","1","93/94","0","","",""
"ביתרdle","מאיר סלמי","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור","2","MF","IL","","2","93/94-94/95","0","","",""
"ביתרdle","ניר לוין","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור","2","FW","IL","1962","1","93/94","0","","",""
"ביתרdle","רונן שוויג","","מאושר","","worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · הגרסה שבייצור · Transfermarkt","4","FW","IL","1969","2","93/94, 96/97","1","","",""
"ביתרdle","רענן דרעי","28780","מאושר","","התאחדות · worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · הגרסה שבייצור · Transfermarkt","5","DF","IL","1976","13","93/94-05/06","2","כן","48",""
"ביתרdle","תומר אזולאי","","מאושר","","worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · הגרסה שבייצור","3","DF","IL","1974","9","93/94-01/02","2","כן","101",""
"ביתרdle","א. ואזנה","","מקור יחיד","נמוך","הגרסה שבייצור","1","MF","IL","","1","94/95","0","","",""
"ביתרdle","אייל כהן","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור","2","DF","IL","","1","94/95","0","","",""
"ביתרdle","אישטוון שאלוי","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","MF","HU","1966","5","94/95-98/99","2","כן","37",""
"ביתרdle","אריק בנדו","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","DF","IL","1973","6","94/95-95/96, 06/07-09/10","4","כן","64",""
"ביתרdle","דוד כסלסי","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","3","FW","IL","","1","94/95","0","","",""
"ביתרdle","דמיטרי גורמן","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור","2","MF","IL","","1","94/95","0","","",""
"ביתרdle","ירון דרורי","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","3","MF","IL","1967","1","94/95","0","","",""
"ביתרdle","מיקי דהן","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","3","GK","IL","","2","94/95-95/96","0","","",""
"ביתרdle","סהר סעדו","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","3","MF","IL","","2","94/95-95/96","0","","",""
"ביתרdle","עופר דגמי","","מאושר","","worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · הגרסה שבייצור","3","MF","IL","1967","1","94/95","0","","",""
"ביתרdle","איציק קורנפיין","","מאושר","","worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור","4","GK","IL","1971","12","95/96-06/07","3","כן","77",""
"ביתרdle","אישטוון פישונט","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","MF","HU","1970","3","95/96-97/98","2","כן","21",""
"ביתרdle","דוד אמסלם","28778","מאושר","","התאחדות · worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · הגרסה שבייצור · Transfermarkt","5","DF","IL","1971","12","95/96-97/98, 00/01-08/09","6","כן","28",""
"ביתרdle","יוסי אבוקסיס","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","MF","IL","1970","6","95/96-00/01","2","כן","73",""
"ביתרdle","נועם אלבוים","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","3","DF","IL","","2","95/96-96/97","1","","",""
"ביתרdle","איציק זוהר","28782","מאושר","","התאחדות · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","MF","IL","1970","1","96/97","1","","",""
"ביתרdle","אסי דומב","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","DF","IL","1974","3","96/97, 98/99-99/00","1","כן","58",""
"ביתרdle","ז'אן טלסניקוב","28785","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","6","MF","IL","1972","6","96/97-98/99, 00/01-02/03","2","כן","117",""
"ביתרdle","ניר סביליה","","מאושר","","worldfootball · קטגוריה · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","FW","IL","1975","5","96/97-00/01","2","כן","96",""
"ביתרdle","שלמה ממן","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","3","GK","IL","","2","96/97-97/98","2","","",""
"ביתרdle","אושרי אוחנה","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור","2","MF","IL","","1","97/98","1","","",""
"ביתרdle","אישטוון האמר","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","MF","HU","1970","3","97/98-99/00","1","כן","95",""
"ביתרdle","אלון חרזי","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","DF","IL","1971","1","97/98","1","","",""
"ביתרdle","אלעד יעקובי","28787","מאושר","","התאחדות · worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","4","FW","IL","1981","9","97/98-05/06","1","כן","25",""
"ביתרdle","גיא גריף","13762","מאושר","","התאחדות · worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","4","GK","IL","1975","9","97/98-05/06","1","כן","14",""
"ביתרdle","גילי כהן","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","3","MF","IL","1978","1","97/98","1","","",""
"ביתרdle","דוד פרץ","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","3","DF","IL","1971","1","97/98","1","","",""
"ביתרdle","יוסף שמואלי","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור","2","MF","IL","","2","97/98-98/99","1","","",""
"ביתרdle","יעקב הלל","","מאושר","","קטגוריה · קריירה-עברית · הגרסה שבייצור","2","DF","IL","1966","1","97/98","1","","",""
"ביתרdle","ראובן עטר","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","MF","IL","1969","1","97/98","1","","",""
"ביתרdle","שי הולצמן","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור","4","FW","IL","1974","1","97/98","1","","",""
"ביתרdle","אילן בכר","","מאושר","","worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · הגרסה שבייצור · Transfermarkt","4","DF","IL","1975","1","98/99","0","","",""
"ביתרdle","אמיר שלח","","מאושר","","worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","DF","IL","1970","1","98/99","0","","",""
"ביתרdle","ניר רייכמן","28801","מאושר","","התאחדות · worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · הגרסה שבייצור · Transfermarkt","5","MF","IL","1975","6","98/99-02/03, 05/06","0","כן","30",""
"ביתרdle","עופר שטרית","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","FW","IL","1970","1","98/99","0","","",""
"ביתרdle","תמאש שנדור","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","MF","HU","1974","4","98/99-01/02","0","כן","29",""
"ביתרdle","אלון כהן","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור","2","DF","IL","1979","1","99/00","0","","",""
"ביתרdle","אלון מזרחי","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","FW","IL","1971","3","99/00-00/01, 05/06","0","כן","34",""
"ביתרdle","בני חדד","","מאושר","","worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · הגרסה שבייצור · Transfermarkt","4","MF","IL","1977","2","99/00-00/01","0","","",""
"ביתרdle","גולן דרעי","","מאושר","","worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · הגרסה שבייצור · Transfermarkt","4","DF","IL","1975","1","99/00","0","","",""
"ביתרdle","חיים סילבס","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","MF","IL","1975","1","99/00","0","","",""
"ביתרdle","קובי גנון","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","DF","IL","1976","2","99/00-00/01","0","","",""
"ביתרdle","אוהד כהן","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","GK","IL","1975","1","00/01","0","","",""
"ביתרdle","אלון אופיר","","מאושר","","worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · הגרסה שבייצור · Transfermarkt","4","MF","IL","1973","2","00/01-01/02","0","","",""
"ביתרdle","אלון סגיר","28795","מאושר","","התאחדות · worldfootball (גשר תעתיק) · הגרסה שבייצור","3","FW","IL","1981","4","00/01-03/04","0","כן","8",""
"ביתרdle","בראנקו סאביץ'","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","3","DF","RS","1972","1","00/01","0","","",""
"ביתרdle","ג'ובאני רוסו","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור","4","MF","HR","1972","1","00/01","0","","",""
"ביתרdle","דראגן איסאילוביץ'","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור","2","FW","RS","1976","1","00/01","0","","",""
"ביתרdle","ויקטור פאסו","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","3","FW","AL","1974","2","00/01-01/02","0","","",""
"ביתרdle","ולדימיר פטרוביץ'","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","3","FW","HR","1972","1","00/01","0","","",""
"ביתרdle","יניב אברג'יל","","מאושר","","קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","4","FW","IL","1977","1","00/01","0","","",""
"ביתרdle","ישראל כהן","","מאושר","","worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · הגרסה שבייצור · Transfermarkt","4","DF","IL","1971","3","00/01, 04/05-05/06","0","כן","109",""
"ביתרdle","מילאן סטויאנוסקי","","מאושר","","worldfootball · קטגוריה · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","DF","MK","1973","1","00/01","0","","",""
"ביתרdle","פליקס חלפון","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","DF","IL","1972","3","00/01, 04/05-05/06","0","כן","108",""
"ביתרdle","גולן חרמון","13343","מאושר","","התאחדות · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","GK","IL","1969","2","01/02-02/03","0","","",""
"ביתרdle","דמיטרו מיכאילנקו","","מאושר","","worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","MF","UA","1973","1","01/02","0","","",""
"ביתרdle","מנור חסן","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","MF","IL","1979","1","01/02","0","","",""
"ביתרdle","סרגיי קונובלוב","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","FW","UA","1972","1","01/02","0","","",""
"ביתרdle","עופר טלקר","28786","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","6","DF","IL","1973","4","01/02-04/05","0","כן","18",""
"ביתרdle","קורנליו פפורה","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","3","MF","RO","1973","1","01/02","0","","",""
"ביתרdle","אנדז'יי קוביקה","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","FW","PL","1972","1","02/03","0","","",""
"ביתרdle","דמיטרי אוליאנוב","","מאושר","","worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","MF","RU","1970","1","02/03","0","","",""
"ביתרdle","כפיר אדרי","13274","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","6","MF","IL","1976","1","02/03","0","","",""
"ביתרdle","מאור מליקסון","2410","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","6","MF","IL","1984","4","02/03-05/06","0","כן","3",""
"ביתרdle","משה ביטון","1525","מאושר","","התאחדות · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","FW","IL","1982","3","02/03-04/05","0","כן","106",""
"ביתרdle","צ'וקוודי נוורגו","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","3","FW","NG","1981","1","02/03","0","","",""
"ביתרdle","אבי נמני","1426","מאושר","","התאחדות · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","MF","IL","1972","2","03/04-04/05","0","","",""
"ביתרdle","אבי פרץ","13270","מאושר","","התאחדות · קטגוריה · קריירה-עברית · הגרסה שבייצור · Transfermarkt","4","GK","IL","1971","1","03/04","0","","",""
"ביתרdle","אבירם ברוכיאן","28842","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","6","MF","IL","1985","9","03/04-10/11, 13/14","4","כן","51",""
"ביתרdle","אנדרה קלדיירה","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","3","MF","BR","1980","2","03/04-04/05","0","","",""
"ביתרdle","ברק יצחקי","17434","מאושר","","התאחדות · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור","4","FW","IL","1984","6","03/04-06/07, 08/09-09/10","2","כן","27",""
"ביתרdle","דניאל היידמן","1419","מאושר","","התאחדות · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","MF","IL","1982","2","03/04-04/05","0","","",""
"ביתרdle","חנן פדידה","4395","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","6","FW","IL","1981","1","03/04","0","","",""
"ביתרdle","עידן מליחי","1539","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","6","MF","IL","1979","3","03/04-05/06","0","כן","105",""
"ביתרdle","עמיר תורג'מן","1422","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","6","FW","IL","1972","1","03/04","0","","",""
"ביתרdle","קפונה","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","3","DF","BR","1972","1","03/04","0","","",""
"ביתרdle","שלומי ארבייטמן","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","FW","IL","1985","1","03/04","0","","",""
"ביתרdle","אדם מורינו","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור","2","GK","IL","1981","2","04/05-05/06","0","","",""
"ביתרdle","אופיר עזו","13355","מאושר","","התאחדות · worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","6","MF","IL","1982","2","04/05-05/06","0","","",""
"ביתרdle","אייל אלג","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור","2","MF","IL","1986","2","04/05-05/06","0","","",""
"ביתרdle","אלי ששון","28803","מאושר","","התאחדות · worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · הגרסה שבייצור · Transfermarkt","5","MF","IL","1982","3","04/05-05/06, 09/10","0","כן","42",""
"ביתרdle","אליאב יוני","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","3","MF","IL","1985","2","04/05-05/06","0","","",""
"ביתרdle","אלירן דנין","26787","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","6","DF","IL","1984","5","04/05-06/07, 08/09-09/10","2","כן","76",""
"ביתרdle","אלירן חודדה","399","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","6","DF","IL","1981","1","04/05","0","","",""
"ביתרdle","גיא סולומון","64","מאושר","","התאחדות · worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","4","GK","IL","1977","2","04/05-05/06","0","","",""
"ביתרdle","דניאל שמשיאלשווילי","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור","2","DF","IL","1986","2","04/05-05/06","0","","",""
"ביתרdle","טל בנין","1416","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","6","MF","IL","1971","1","04/05","0","","",""
"ביתרdle","יוני קים","27922","מאושר","","התאחדות · worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","4","DF","IL","1986","2","04/05-05/06","0","","",""
"ביתרdle","ליאור אסולין","45","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","6","FW","IL","1980","2","04/05-05/06","0","","",""
"ביתרdle","מור אפרים","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","3","MF","IL","1985","2","04/05-05/06","0","","",""
"ביתרdle","ניסים נאור","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","3","DF","IL","1987","2","04/05-05/06","0","","",""
"ביתרdle","עמית בן שושן","28841","מאושר","","התאחדות · worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","6","FW","IL","1985","9","04/05-12/13","4","כן","26",""
"ביתרdle","עמית שמש","26472","מאושר","","התאחדות · הגרסה שבייצור · Transfermarkt","3","GK","IL","1987","3","04/05-06/07","1","כן","59",""
"ביתרdle","רועי לויאן","27902","מאושר","","התאחדות · worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","4","DF","IL","1986","2","04/05-05/06","0","","",""
"ביתרdle","שחר מתן","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור","2","DF","IL","1987","1","04/05","0","","",""
"ביתרdle","שי חדד","26449","מאושר","","התאחדות · worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","6","MF","IL","1987","8","04/05-07/08, 10/11-13/14","3","כן","10",""
"ביתרdle","שלומי משה","28969","מאושר","","התאחדות · worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","4","FW","IL","1983","3","04/05-05/06, 08/09","1","כן","40",""
"ביתרdle","שמואל קוז'וקין","33805","מאושר","","התאחדות · worldfootball (גשר תעתיק) · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","6","DF","IL","1987","8","04/05-05/06, 07/08-12/13","3","כן","118",""
"ביתרdle","אגנסו","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","3","FW","ES","1981","1","05/06","0","","",""
"ביתרdle","איגור מיטרסקי","70745","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","6","DF","MK","1979","1","05/06","0","","",""
"ביתרdle","איתמר יחיא","","מאושר","","worldfootball (גשר תעתיק) · הגרסה שבייצור · Transfermarkt","3","DF","IL","1986","1","05/06","0","","",""
"ביתרdle","איתן טיבי","650","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","6","DF","IL","1987","3","05/06-06/07, 09/10","1","כן","89",""
"ביתרdle","ג'ף טוטואנה","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","5","FW","CD","1982","1","05/06","0","","",""
"ביתרdle","גל אלברמן","3408","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור · Transfermarkt","6","MF","IL","1983","3","05/06-07/08","3","כן","56",""
"ביתרdle","ז'רום לרואה","","מאושר","","קטגוריה · קריירה-עברית · קריירה-אנגלית · הגרסה שבייצור","3","MF","FR","1974","1","05/06","0","","",""
