"מועדון","שם","מפתח","רמה","סיכון","מקורות","כמה","עמדה","לאום","לידה","עונות","תקופה","תארים","בבריכה","חידה מספר","מועדונים בערך האנגלי"
"חיפהdle","עופר שטרית","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","4","FW","IL","1970","2","94/95-95/96","1","","",""
"חיפהdle","שגיא שטראוס","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","4","GK","IL","1976","1","94/95","1","","",""
"חיפהdle","אבישי ז'אנו","114","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","5","DF","IL","1970","10","95/96-04/05","5","כן","5",""
"חיפהdle","ירוסלאב קנטוש","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","4","DF","SK","1974","1","95/96","0","","",""
"חיפהdle","קובי גנון","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","4","DF","IL","1976","2","95/96-96/97","0","","",""
"חיפהdle","אופיר קופל","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","4","MF","IL","1975","3","96/97-98/99","1","כן","85",""
"חיפהdle","דודו אוואט","106","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","5","GK","IL","1977","3","96/97, 01/02-02/03","1","כן","77",""
"חיפהdle","עידן שום","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","4","MF","IL","1976","1","96/97","0","","",""
"חיפהdle","עמיר תורג'מן","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","4","FW","IL","1972","1","96/97","0","","",""
"חיפהdle","איברהים דורו","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","4","MF","BA","1970","2","97/98-98/99","1","","",""
"חיפהdle","ולדימיר נידרגאוס","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","4","FW","","1967","1","97/98","1","","",""
"חיפהdle","ויקטור פאצ'ו","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","4","FW","AL","1974","1","98/99","0","","",""
"חיפהdle","יוסי בניון","111","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","5","MF","IL","1980","6","98/99-01/02, 14/15-15/16","3","כן","100",""
"חיפהdle","יז'י בז'נצ'ק","","מאושר","","worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","4","MF","PL","1971","2","98/99-99/00","0","","",""
"חיפהdle","יניב קטן","122","מאושר","","התאחדות · worldfootball · קטגוריה · קריירה-עברית · קריירה-אנגלית · Transfermarkt","5","FW","IL","1981","15","98/99-04/05, 06/07-13/14","6","כן","57",""
